id,title,wards,createdOn,modifiedOn,titleNe,description,cause,verified,verificationMessage,approved,polygon,incidentOn,reportedOn,streetAddress,detail,needFollowup,region,regionId,dataSourceId,dataSource,source,event,hazard,createdBy,updatedBy,point.type,point.coordinates,loss.id,loss.peopleDeathCount,loss.peopleDeathMaleCount,loss.peopleDeathFemaleCount,loss.peopleDeathOtherCount,loss.peopleDeathUnknownCount,loss.peopleDeathDisabledCount,loss.peopleMissingCount,loss.peopleMissingMaleCount,loss.peopleMissingFemaleCount,loss.peopleMissingOtherCount,loss.peopleMissingUnknownCount,loss.peopleMissingDisabledCount,loss.peopleInjuredCount,loss.peopleInjuredMaleCount,loss.peopleInjuredFemaleCount,loss.peopleInjuredOtherCount,loss.peopleInjuredUnknownCount,loss.peopleInjuredDisabledCount,loss.peopleAffectedCount,loss.familyAffectedCount,loss.familyRelocatedCount,loss.familyEvacuatedCount,loss.livestockDestroyedCount,loss.infrastructureDestroyedCount,loss.infrastructureDestroyedHouseCount,loss.infrastructureAffectedHouseCount,loss.infrastructureDestroyedRoadCount,loss.infrastructureAffectedRoadCount,loss.infrastructureDestroyedBridgeCount,loss.infrastructureAffectedBridgeCount,loss.infrastructureDestroyedElectricityCount,loss.infrastructureAffectedElectricityCount,loss.infrastructureEconomicLoss,loss.agricultureEconomicLoss,loss.createdOn,loss.modifiedOn,loss.description,loss.estimatedLoss,snapshot_date
93669,"Flood at Ghatbesi , Gajuri Rural Municipality-5","[{'id': 3176, 'bbox': [84.87503832926116, 27.74290735427872, 84.91804863105283, 27.80856616945733], 'centroid': {'type': 'Point', 'coordinates': [84.8960695493766, 27.77404423957598]}, 'title': '5', 'municipality': 30003}]",2026-08-26T14:33:04.462981+05:45,2026-08-27T14:39:03.778183+05:45,"बाग्मती, धादिङ्ग, गजुरी-५ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-26T14:19:17+05:45,Ghatbesi ,,False,,,89640,drr_api,other,,11,,,Point,"[84.89826439, 27.77379547]",476578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T14:39:03.770156+05:45,2026-08-27T14:39:03.770164+05:45,,,2026-09-17
93670,"Flood at Jaharekhet , Netrawati Dabjong Rural Municipality-1","[{'id': 3169, 'bbox': [84.92008081618509, 28.00038688991405, 84.99090155856015, 28.03111331476659], 'centroid': {'type': 'Point', 'coordinates': [84.95780011123587, 28.015367956487673]}, 'title': '1', 'municipality': 30008}]",2026-08-26T14:33:04.504534+05:45,2026-08-27T14:39:03.799081+05:45,"बाग्मती, धादिङ्ग, नेत्रावती डबजोङ-१ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-26T14:17:43+05:45,Jaharekhet ,,False,,,89639,drr_api,other,,11,,,Point,"[84.94688, 28.00638]",476579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T14:39:03.791935+05:45,2026-08-27T14:39:03.791944+05:45,,,2026-09-17
93671,Flood at Netrawati Dabjong Rural Municipality-1,"[{'id': 3169, 'bbox': [84.92008081618509, 28.00038688991405, 84.99090155856015, 28.03111331476659], 'centroid': {'type': 'Point', 'coordinates': [84.95780011123587, 28.015367956487673]}, 'title': '1', 'municipality': 30008}]",2026-08-26T14:33:04.541243+05:45,2026-08-26T14:33:04.541265+05:45,"बाग्मती, धादिङ्ग, नेत्रावती डबजोङ-१ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-26T14:16:42+05:45,,,False,,,89638,drr_api,other,,11,,,Point,"[84.94688, 28.00638]",475768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-26T14:33:04.520146+05:45,2026-08-26T14:33:04.520158+05:45,,,2026-09-17
93672,"Flood at Phurkekhola , Netrawati Dabjong Rural Municipality-1","[{'id': 3169, 'bbox': [84.92008081618509, 28.00038688991405, 84.99090155856015, 28.03111331476659], 'centroid': {'type': 'Point', 'coordinates': [84.95780011123587, 28.015367956487673]}, 'title': '1', 'municipality': 30008}]",2026-08-26T14:45:04.557060+05:45,2026-08-26T14:45:04.557072+05:45,"बाग्मती, धादिङ्ग, नेत्रावती डबजोङ-१ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-26T14:21:47+05:45,Phurkekhola ,,False,,,89641,drr_api,other,,11,,,Point,"[84.94688, 28.00638]",475779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-26T14:45:04.511462+05:45,2026-08-26T14:45:04.511486+05:45,,,2026-09-17
93684,"Flood at Belkhu , Gajuri Rural Municipality-7","[{'id': 3137, 'bbox': [84.91294139760575, 27.74325341405878, 84.96270753271872, 27.78747471335967], 'centroid': {'type': 'Point', 'coordinates': [84.93318105973508, 27.761849135408617]}, 'title': '7', 'municipality': 30003}]",2026-08-26T15:45:05.051520+05:45,2026-08-27T15:39:04.557026+05:45,"बाग्मती, धादिङ्ग, गजुरी-७ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-26T15:16:10+05:45,Belkhu ,,False,,,89643,drr_api,other,,11,,,Point,"[84.92358013, 27.77749892]",476582,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T15:39:04.549426+05:45,2026-08-27T15:39:04.549435+05:45,,,2026-09-17
93699,"Flood at Buttar , Dharche Rural Municipality-5","[{'id': 3363, 'bbox': [84.77574082473872, 28.16370382073421, 84.87698766588964, 28.34008661172662], 'centroid': {'type': 'Point', 'coordinates': [84.80557366982208, 28.251908499001544]}, 'title': '5', 'municipality': 36005}]",2026-08-27T16:33:04.137381+05:45,2026-08-27T16:33:04.137397+05:45,"गण्डकी, गोरखा, धार्चे-५ मा बाढी",,,True,,True,,2026-08-26T00:00:00+05:45,2026-08-27T16:20:15+05:45,Buttar ,,False,,,89672,drr_api,other,,11,,,Point,"[84.8101, 28.27345]",476583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T16:33:04.080577+05:45,2026-08-27T16:33:04.080595+05:45,,,2026-09-17
93705,Flood at Lo Ghekar Damodarkunda Rural Municipality-5,"[{'id': 5092, 'bbox': [83.82776198734943, 28.83911884569794, 84.24182968493622, 29.07241450071645], 'centroid': {'type': 'Point', 'coordinates': [84.04426129242475, 28.95110920134865]}, 'title': '5', 'municipality': 42002}]",2026-08-27T16:45:04.899569+05:45,2026-08-27T16:45:04.899580+05:45,"गण्डकी, मुस्ताङ्ग, लो-घेकर दामोदरकुण्ड-५ मा बाढी",,,True,,True,,2026-08-27T00:00:00+05:45,2026-08-27T16:30:44+05:45,,,False,,,89678,drr_api,other,,11,,,Point,"[83.86811, 28.9548]",476589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T16:45:04.851655+05:45,2026-08-27T16:45:04.851669+05:45,,,2026-09-17
93714,Flood at Alital Rural Municipality-3,"[{'id': 6587, 'bbox': [80.42978266746778, 29.12482712483425, 80.53868024424379, 29.23661865153686], 'centroid': {'type': 'Point', 'coordinates': [80.47788656948356, 29.175760693633613]}, 'title': '3', 'municipality': 73002}]",2026-08-27T18:17:03.742987+05:45,2026-08-27T18:17:03.742998+05:45,"सुदुरपश्चिम, डडेल्धुरा, आलिताल-३ मा बाढी",,,True,,True,,2026-08-27T00:00:00+05:45,2026-08-27T17:49:44+05:45,,,False,,,89683,drr_api,other,,11,,,Point,"[80.48616, 29.20864]",476598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-27T18:17:03.717384+05:45,2026-08-27T18:17:03.717392+05:45,,,2026-09-17
93760,Flood at Pokhara Metropolitan City-17,"[{'id': 3890, 'bbox': [83.94390382044966, 28.16061892302281, 84.01057756932192, 28.20169955922409], 'centroid': {'type': 'Point', 'coordinates': [83.973921965584, 28.184376770452626]}, 'title': '17', 'municipality': 40004}]",2026-08-29T12:01:04.079237+05:45,2026-08-29T12:01:04.079247+05:45,"गण्डकी, कास्की, पोखरा-१७ मा बाढी",,,True,,True,,2026-08-28T00:00:00+05:45,2026-08-29T11:42:50+05:45,,,False,,,89739,drr_api,other,,11,,,Point,"[83.97600375, 28.18418197]",476782,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-29T12:01:04.044774+05:45,2026-08-29T12:01:04.044784+05:45,,,2026-09-17
93763,Flood at Triyuga Municipality-10,"[{'id': 2776, 'bbox': [86.68803382191057, 26.7886606276265, 86.70714380564591, 26.83575928560749], 'centroid': {'type': 'Point', 'coordinates': [86.69771634681865, 26.807059002203445]}, 'title': '10', 'municipality': 14007}]",2026-08-29T12:01:04.219800+05:45,2026-08-29T12:01:04.219808+05:45,"कोशी, उदयपुर, त्रियुगा-१० मा बाढी",,,True,,True,,2026-08-27T00:00:00+05:45,2026-08-29T11:38:14+05:45,,,False,,,89736,drr_api,other,,11,,,Point,"[86.70012774, 26.80669592]",476785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-29T12:01:04.191948+05:45,2026-08-29T12:01:04.191956+05:45,,,2026-09-17
